departure_from,departure_to,availability_start,availability_end,data_generated
Alghero,Bucharest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alghero,Budapest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alghero,Skopje,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alghero,Sofia,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alghero,Warsaw,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alicante,Belgrade,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alicante,London,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alicante,Rome,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Alicante,Venice,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Ankara,Budapest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Antalya,Bucharest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Antalya,Budapest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Antalya,London,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,Bucharest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,Budapest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,Craiova,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,Gdansk,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,London,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,Tel Aviv,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Athens,Venice,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Bacau,London,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Baku,Budapest,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Banja Luka,Basel/Mulhouse,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Barcelona,Craiova,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
Barcelona,Iasi,2026-07-23T07:00:02,2026-07-26T23:59:59,2026-07-23T07:00:02
