departure_from,departure_to,availability_start,availability_end,data_generated
Abu Dhabi,Alexandria,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Almaty,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Amman,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Asyut,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Beirut,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Belgrade,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Bucharest,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Dammam,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Giza,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Krakow,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Larnaca,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Madinah,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Salalah,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Sarajevo,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Tirana,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Turkistan,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Varna,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Abu Dhabi,Yerevan,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alexandria,Abu Dhabi,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alghero,Bucharest,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alghero,Budapest,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alghero,Sofia,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alicante,Belgrade,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alicante,Budapest,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alicante,Gdansk,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alicante,Katowice,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Alicante,Rome,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Amman,Abu Dhabi,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Antalya,London,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Asyut,Abu Dhabi,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Athens,Bucharest,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
Athens,Katowice,2025-07-11T07:00:01,2025-07-14T23:59:59,2025-07-11T07:00:01
