departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Aberdeen,Gdansk,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Alexandria,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Almaty,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Amman,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Baku,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Beirut,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Belgrade,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Bishkek,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Bucharest,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Budapest,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Chisinau,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Dammam,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Giza,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Kutaisi,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Larnaca,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Madinah,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Nur-Sultan,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Samarkand,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Sarajevo,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Sofia,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Sohag,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Tel Aviv,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Tirana,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Turkistan,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Varna,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Abu Dhabi,Yerevan,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Alexandria,Abu Dhabi,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
Alghero,Bucharest,2025-06-08T07:00:02,2025-06-11T23:59:59,2025-06-08T07:00:02
