departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Alexandria,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Almaty,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Amman,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Asyut,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Beirut,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Bucharest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Chisinau,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Dammam,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Gabala,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Giza,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Krakow,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Kutaisi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Larnaca,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Madinah,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Sarajevo,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Tashkent,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Abu Dhabi,Yerevan,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alexandria,Abu Dhabi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alghero,Bucharest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alghero,Budapest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alghero,Sofia,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alicante,Belgrade,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alicante,Budapest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alicante,Rome,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Alicante,Warsaw,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Almaty,Abu Dhabi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Amman,Abu Dhabi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Antalya,Budapest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Antalya,London,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Asyut,Abu Dhabi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Athens,Larnaca,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Athens,London,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Athens,Venice,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bacau,London,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bacau,Rome,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Baku,Abu Dhabi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Banja Luka,Basel/Mulhouse,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Banja Luka,Dortmund,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Barcelona,Milan,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Barcelona,Rome,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Bucharest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Budapest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Cluj,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Craiova,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Timisoara,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Tirana,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Warsaw,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bari,Wroclaw,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Basel/Mulhouse,Iasi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Basel/Mulhouse,Tuzla,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Basel/Mulhouse,Warsaw,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Basel/Mulhouse,Wroclaw,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Beirut,Abu Dhabi,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Barcelona,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Basel/Mulhouse,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Berlin,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Friedrichshafen,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Karlsruhe/Baden-Baden,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Larnaca,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Lisbon,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,London,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Malta,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Memmingen,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Milan,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Nice,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Paris,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Belgrade,Rome,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bergen,Gdansk,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bergen,Krakow,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bergen,Vilnius,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Berlin,Varna,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bilbao,Rome,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bilbao,Vienna,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Bilbao,Warsaw,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
Billund,Bucharest,2025-07-26T07:00:01,2025-07-29T23:59:59,2025-07-26T07:00:01
